,x,y,radius
467,550,1712,5.656954288482666
468,552,1703,7.211202621459961
469,551,1692,8.846003532409668
470,550,1680,5.656954288482666
471,550,1671,5.656954288482666
472,545,1662,5.656954288482666
473,545,1653,5.656954288482666
474,545,1637,7.632268905639648
475,545,1626,5.656954288482666
476,543,1619,8.846003532409668
477,541,1608,5.656954288482666
478,538,1590,7.632268905639648
479,539,1578,8.846003532409668
480,538,1568,7.632268905639648
481,538,1559,7.632268905639648
482,541,1550,5.656954288482666
483,536,1534,7.211202621459961
484,538,1523,7.632268905639648
485,538,1516,8.846003532409668
486,538,1505,7.632268905639648
487,536,1496,9.394247055053711
488,538,1484,9.192488670349121
489,537,1471,10.404426574707031
490,536,1460,9.394247055053711
491,538,1451,7.632268905639648
492,538,1442,7.632268905639648
493,538,1433,7.632268905639648
494,538,1424,7.632268905639648
495,538,1412,9.192488670349121
496,540,1399,9.394247055053711
497,538,1383,7.632268905639648
498,536,1374,5.656954288482666
499,542,1363,8.485381126403809
500,540,1354,10.404426574707031
501,540,1340,10.700567245483398
502,540,1325,9.394247055053711
503,542,1309,8.485381126403809
504,540,1302,9.394247055053711
505,543,1293,7.211202621459961
506,541,1281,10.404426574707031
507,541,1267,10.700567245483398
508,541,1257,5.656954288482666
509,538,1239,7.632268905639648
510,540,1230,9.394247055053711
511,541,1217,5.656954288482666
512,538,1210,8.846003532409668
513,538,1196,9.192488670349121
514,538,1187,9.192488670349121
515,538,1172,7.632268905639648
516,538,1158,7.632268905639648
517,539,1151,10.700567245483398
518,539,1138,10.404426574707031
519,537,1128,8.846003532409668
520,539,1115,10.700567245483398
521,541,1104,5.656954288482666
522,538,1093,8.846003532409668
523,539,1082,10.700567245483398
524,538,1073,7.632268905639648
525,538,1064,7.632268905639648
526,538,1052,9.192488670349121
527,538,1037,7.632268905639648
528,538,1023,7.632268905639648
529,538,1016,9.192488670349121
530,536,1001,5.656954288482666
531,536,989,7.632268905639648
532,538,978,7.632268905639648
533,534,957,8.485381126403809
534,535,945,10.700567245483398
535,533,931,8.485381126403809
536,533,918,8.846003532409668
537,533,904,8.485381126403809
538,531,883,5.656954288482666
539,531,870,5.656954288482666
540,531,856,5.656954288482666
541,531,838,5.656954288482666
542,531,825,5.656954288482666
543,531,807,5.656954288482666
544,531,793,5.656954288482666
545,531,771,5.656954288482666
546,531,753,5.656954288482666
547,531,739,5.656954288482666
548,531,719,7.382511615753174
549,531,694,5.656954288482666
550,529,681,7.632268905639648
551,531,663,5.656954288482666
552,531,645,5.656954288482666
553,531,631,5.656954288482666
554,529,618,7.632268905639648
555,527,600,5.656954288482666
556,525,579,8.485381126403809
557,522,564,5.356535911560059
558,525,555,7.211202621459961
559,522,535,6.946321964263916
560,527,528,5.656954288482666
561,522,508,6.946321964263916
562,527,497,5.656954288482666
563,522,483,5.356535911560059
564,522,470,5.356535911560059
565,522,452,5.356535911560059
566,522,438,5.356535911560059
567,525,425,7.211202621459961
568,525,411,7.211202621459961
569,522,398,5.356535911560059
570,522,380,5.356535911560059
571,522,373,6.946321964263916
572,518,362,5.656954288482666
573,518,344,5.656954288482666
574,518,330,5.656954288482666
575,518,317,5.656954288482666
576,518,303,5.656954288482666
577,513,294,5.656954288482666
578,513,285,5.656954288482666
579,513,267,5.656954288482666
580,513,253,5.656954288482666
581,513,244,5.656954288482666
582,513,235,5.656954288482666
583,513,217,5.656954288482666
584,513,213,5.656954288482666
585,513,199,5.656954288482666
586,513,195,5.656954288482666
587,513,181,5.656954288482666
588,515,172,7.632268905639648
589,518,168,5.656954288482666
590,518,164,5.656954288482666
591,518,155,5.656954288482666
592,518,150,5.656954288482666
593,522,146,5.356535911560059
594,522,141,5.356535911560059
595,527,137,5.656954288482666
596,531,132,5.656954288482666
597,536,132,5.656954288482666
598,541,132,5.656954288482666
599,545,132,5.656954288482666
600,550,128,5.656954288482666
601,554,128,5.656954288482666
602,563,128,5.656954288482666
603,577,128,5.656954288482666
604,586,123,5.656954288482666
605,599,127,5.369135856628418
606,606,123,7.632268905639648
607,617,123,5.656954288482666
608,631,123,5.656954288482666
609,636,123,5.656954288482666
610,649,128,5.656954288482666
611,663,128,5.656954288482666
612,676,128,5.356535911560059
613,681,128,5.656954288482666
614,694,127,5.656954288482666
615,704,132,5.656954288482666
